iter	Passed	Remaining
0	4	4547
1	8	4382
2	12	4317
3	16	4215
4	21	4268
5	25	4194
6	29	4198
7	33	4144
8	37	4155
9	41	4113
10	45	4080
11	49	4073
12	53	4073
13	56	3970
14	60	3962
15	62	3824
16	66	3841
17	72	3956
18	76	3956
19	80	3946
20	84	3940
21	88	3942
22	91	3892
23	100	4092
24	105	4105
25	109	4099
26	113	4092
27	117	4081
28	121	4069
29	125	4057
30	129	4047
31	133	4033
32	137	4027
33	141	4008
34	145	4000
35	149	3995
36	153	3988
37	157	3991
38	161	3986
39	165	3976
40	169	3969
41	173	3962
42	177	3955
43	181	3947
44	185	3939
45	189	3931
46	193	3924
47	197	3912
48	201	3907
49	205	3898
50	209	3893
51	213	3883
52	217	3879
53	220	3871
54	224	3863
55	228	3856
56	232	3845
57	236	3840
58	240	3830
59	243	3816
60	247	3805
61	250	3797
62	254	3787
63	258	3776
64	261	3763
65	265	3751
66	268	3742
67	272	3734
68	276	3727
69	279	3715
70	281	3687
71	285	3678
72	287	3651
73	291	3646
74	295	3638
75	297	3614
76	301	3608
77	304	3603
78	308	3598
79	312	3591
80	315	3584
81	319	3579
82	323	3574
83	327	3568
84	331	3565
85	334	3559
86	338	3556
87	342	3549
88	346	3544
89	349	3537
90	353	3530
91	357	3526
92	361	3521
93	364	3516
94	368	3511
95	372	3509
96	376	3502
97	379	3497
98	385	3505
99	391	3522
100	398	3544
101	406	3575
102	420	3665
103	424	3661
104	435	3713
105	442	3728
106	449	3751
107	458	3783
108	467	3824
109	478	3872
110	486	3893
111	494	3923
112	503	3948
113	512	3985
114	526	4050
115	530	4040
116	534	4032
117	538	4021
118	541	4011
119	546	4007
120	550	3996
121	553	3984
122	557	3972
123	560	3961
124	564	3952
125	568	3943
126	572	3935
127	576	3926
128	580	3919
129	584	3909
130	588	3901
131	591	3891
132	595	3882
133	599	3872
134	602	3863
135	606	3854
136	614	3868
137	620	3877
138	626	3880
139	633	3889
140	637	3882
141	640	3872
142	644	3862
143	648	3854
144	652	3846
145	656	3838
146	659	3829
147	663	3821
148	667	3813
149	671	3803
150	675	3795
151	678	3786
152	682	3778
153	686	3769
154	689	3756
155	692	3747
156	696	3739
157	700	3733
158	704	3726
159	708	3718
160	711	3710
161	715	3702
162	719	3694
163	723	3686
164	726	3678
165	730	3672
166	734	3664
167	738	3655
168	741	3647
169	745	3639
170	748	3630
171	752	3623
172	755	3612
173	759	3604
174	762	3594
175	766	3590
176	770	3581
177	773	3573
178	777	3565
179	781	3558
180	784	3550
181	788	3543
182	792	3540
183	796	3532
184	799	3524
185	803	3515
186	807	3508
187	810	3500
188	813	3491
189	817	3484
190	821	3477
191	824	3470
192	828	3464
193	832	3456
194	835	3449
195	838	3441
196	841	3430
197	845	3423
198	848	3416
199	852	3411
200	856	3404
201	859	3397
202	864	3392
203	867	3384
204	870	3377
205	873	3365
206	876	3358
207	880	3351
208	883	3344
209	887	3337
210	890	3331
211	894	3323
212	897	3316
213	901	3309
214	904	3302
215	907	3295
216	911	3287
217	914	3280
218	917	3273
219	921	3267
220	924	3260
221	928	3254
222	931	3247
223	935	3241
224	938	3234
225	942	3227
226	945	3219
227	948	3213
228	952	3206
229	956	3200
230	959	3194
231	962	3187
232	966	3181
233	969	3175
234	973	3168
235	976	3162
236	980	3155
237	983	3148
238	987	3143
239	990	3138
240	994	3133
241	998	3127
242	1001	3120
243	1005	3115
244	1008	3109
245	1012	3103
246	1015	3096
247	1019	3090
248	1022	3084
249	1026	3078
250	1029	3073
251	1033	3068
252	1037	3062
253	1040	3057
254	1044	3051
255	1048	3045
256	1053	3045
257	1063	3058
258	1067	3052
259	1070	3046
260	1074	3041
261	1078	3038
262	1084	3040
263	1092	3046
264	1096	3041
265	1100	3036
266	1103	3029
267	1107	3023
268	1110	3017
269	1114	3012
270	1117	3006
271	1121	3000
272	1124	2994
273	1128	2989
274	1131	2983
275	1134	2976
276	1138	2970
277	1141	2965
278	1145	2959
279	1148	2953
280	1152	2947
281	1155	2942
282	1159	2937
283	1162	2931
284	1166	2926
285	1169	2920
286	1173	2914
287	1176	2908
288	1180	2903
289	1183	2897
290	1186	2891
291	1190	2886
292	1194	2881
293	1199	2879
294	1202	2874
295	1206	2869
296	1209	2863
297	1213	2858
298	1216	2852
299	1220	2847
300	1223	2841
301	1227	2836
302	1230	2830
303	1233	2825
304	1237	2819
305	1240	2813
306	1244	2808
307	1247	2802
308	1250	2797
309	1254	2791
310	1258	2787
311	1261	2781
312	1265	2776
313	1268	2771
314	1272	2767
315	1276	2762
316	1279	2757
317	1283	2752
318	1287	2748
319	1290	2742
320	1294	2737
321	1298	2733
322	1301	2728
323	1305	2723
324	1309	2718
325	1312	2714
326	1316	2709
327	1320	2704
